num_malicious,attack_fn,dataset_name,round,auc,accuracy,loss
2,<function gaussian_attack at 0x195344280>,mnist,11,0.9646784513670891,0.9365,94.28816111385822
2,<function gaussian_attack at 0x195344280>,mnist,12,0.9685911716757282,0.9446,92.43520085513592
2,<function gaussian_attack at 0x195344280>,mnist,13,0.9724023030460399,0.9516,73.19908054918051
2,<function gaussian_attack at 0x195344280>,mnist,14,0.9705486338084828,0.9475,68.06563435308635
2,<function gaussian_attack at 0x195344280>,mnist,15,0.9732931892850001,0.9521,58.396902138367295
2,<function gaussian_attack at 0x195344280>,mnist,16,0.9729929221355877,0.9523,58.398716915398836
2,<function gaussian_attack at 0x195344280>,mnist,17,0.9777652690860238,0.9604,54.95797378476709
2,<function gaussian_attack at 0x195344280>,mnist,18,0.9784945968123828,0.9619,57.46292335912585
2,<function gaussian_attack at 0x195344280>,mnist,19,0.9757860712312093,0.9576,51.95045176893473
2,<function gaussian_attack at 0x195344280>,mnist,20,0.975683789051697,0.9568,56.29872525669634
2,<function gaussian_attack at 0x195344280>,mnist,21,0.9707838648818143,0.9488,54.00727775320411
2,<function gaussian_attack at 0x195344280>,mnist,22,0.9738618997077607,0.954,45.86929240520112
2,<function gaussian_attack at 0x195344280>,mnist,23,0.9744399365368366,0.955,47.47513797739521
2,<function gaussian_attack at 0x195344280>,mnist,24,0.9717161722766303,0.9504,48.761904158163816
2,<function gaussian_attack at 0x195344280>,mnist,25,0.973387168595141,0.9533,50.37956834118813
2,<function gaussian_attack at 0x195344280>,mnist,26,0.9765881857113804,0.9589,46.73175791790709
2,<function gaussian_attack at 0x195344280>,mnist,27,0.9752456889566178,0.9559,44.3638481561793
2,<function gaussian_attack at 0x195344280>,mnist,28,0.9771227595603904,0.9593,44.67948210216127
2,<function gaussian_attack at 0x195344280>,mnist,29,0.9727580213383614,0.9519,50.470800343784504
2,<function gaussian_attack at 0x195344280>,mnist,30,0.9727331052262116,0.9516,51.2962705672835
2,<function gaussian_attack at 0x195344280>,mnist,31,0.9775167726735294,0.9601,43.08293106057681
2,<function gaussian_attack at 0x195344280>,mnist,32,0.9772103191097559,0.9592,42.970166483777575
2,<function gaussian_attack at 0x195344280>,mnist,33,0.9750292492192487,0.9551,48.65675031945284
2,<function gaussian_attack at 0x195344280>,mnist,34,0.9785328405310793,0.9616,41.32029525221151
2,<function gaussian_attack at 0x195344280>,mnist,35,0.9771414024007827,0.9591,49.021885700683924
2,<function gaussian_attack at 0x195344280>,mnist,36,0.9713058405214335,0.9485,58.91959458620113
2,<function gaussian_attack at 0x195344280>,mnist,37,0.9747630524505133,0.9545,53.28350257749844
2,<function gaussian_attack at 0x195344280>,mnist,38,0.9752364323431418,0.9555,52.551323450355994
2,<function gaussian_attack at 0x195344280>,mnist,39,0.9736021015020764,0.9523,65.90518523250012
2,<function gaussian_attack at 0x195344280>,mnist,40,0.9736375874032855,0.9524,65.25169876149198
2,<function gaussian_attack at 0x195344280>,mnist,41,0.9771967870976864,0.9592,56.98561634730959
2,<function gaussian_attack at 0x195344280>,mnist,42,0.9726049442395542,0.9509,83.03325171585018
2,<function gaussian_attack at 0x195344280>,mnist,43,0.9756932958473022,0.9563,71.51836313062427
2,<function gaussian_attack at 0x195344280>,mnist,44,0.9725508182822418,0.9506,94.11996943505116
2,<function gaussian_attack at 0x195344280>,mnist,45,0.9724451559910315,0.9505,92.19742524510002
2,<function gaussian_attack at 0x195344280>,mnist,46,0.9697574152806181,0.945,117.7854727694668
2,<function gaussian_attack at 0x195344280>,mnist,47,0.96735789102258,0.9409,124.9734183108506
2,<function gaussian_attack at 0x195344280>,mnist,48,0.9653865824888428,0.9369,156.60719778944343
2,<function gaussian_attack at 0x195344280>,mnist,49,0.9648551200468507,0.9357,158.40450435581295
2,<function gaussian_attack at 0x195344280>,mnist,50,0.9689095908899473,0.9431,134.53552789564557
3,<function gaussian_attack at 0x195344280>,mnist,0,0.5282032163812909,0.1502,719.8568780422211
3,<function gaussian_attack at 0x195344280>,mnist,1,0.9193149212325098,0.8553,429.1357989311218
3,<function gaussian_attack at 0x195344280>,mnist,2,0.914078249676723,0.8474,303.22808039188385
3,<function gaussian_attack at 0x195344280>,mnist,3,0.9406035957985465,0.8949,269.5265381336212
3,<function gaussian_attack at 0x195344280>,mnist,4,0.9490510335921435,0.9101,210.41872760653496
3,<function gaussian_attack at 0x195344280>,mnist,5,0.9584589695077126,0.9272,150.26183706521988
3,<function gaussian_attack at 0x195344280>,mnist,6,0.9340183596668059,0.8827,166.7762908488512
3,<function gaussian_attack at 0x195344280>,mnist,7,0.9489926383098822,0.9091,136.19708853960037
3,<function gaussian_attack at 0x195344280>,mnist,8,0.9527685051786392,0.9157,116.86348543316126
3,<function gaussian_attack at 0x195344280>,mnist,9,0.9640782083574624,0.9362,109.28648833930492
3,<function gaussian_attack at 0x195344280>,mnist,10,0.954451898138761,0.9194,102.71771865710616
3,<function gaussian_attack at 0x195344280>,mnist,11,0.9552250096799094,0.9206,111.85934299230576
3,<function gaussian_attack at 0x195344280>,mnist,12,0.9477834511391279,0.9068,115.52292539179325
3,<function gaussian_attack at 0x195344280>,mnist,13,0.9552154541578229,0.9202,93.44117437675595
3,<function gaussian_attack at 0x195344280>,mnist,14,0.9434983359147349,0.9001,102.3921773545444
3,<function gaussian_attack at 0x195344280>,mnist,15,0.9640188201353921,0.9362,82.33522369898856
3,<function gaussian_attack at 0x195344280>,mnist,16,0.9681191634121958,0.9436,72.01817214488983
3,<function gaussian_attack at 0x195344280>,mnist,17,0.9665778484991108,0.9412,63.973882232792675
3,<function gaussian_attack at 0x195344280>,mnist,18,0.9535232614198236,0.9171,88.44625692814589
3,<function gaussian_attack at 0x195344280>,mnist,19,0.9463318847453157,0.9037,92.23224160820246
3,<function gaussian_attack at 0x195344280>,mnist,20,0.9648641025372381,0.9381,63.94211937952787
3,<function gaussian_attack at 0x195344280>,mnist,21,0.9632652900842882,0.9352,66.3856422258541
3,<function gaussian_attack at 0x195344280>,mnist,22,0.9673371682198388,0.9427,62.09521204791963
3,<function gaussian_attack at 0x195344280>,mnist,23,0.9617508096744872,0.9323,68.48958988673985
3,<function gaussian_attack at 0x195344280>,mnist,24,0.9504777878423534,0.9129,85.94919411279261
3,<function gaussian_attack at 0x195344280>,mnist,25,0.9578653391273277,0.9253,70.57272141939029
3,<function gaussian_attack at 0x195344280>,mnist,26,0.9570834018415681,0.9235,72.02066773921251
3,<function gaussian_attack at 0x195344280>,mnist,27,0.9623126693937181,0.9328,65.69749516597949
3,<function gaussian_attack at 0x195344280>,mnist,28,0.9474571962152206,0.9072,97.49346308084205
3,<function gaussian_attack at 0x195344280>,mnist,29,0.9446112599088365,0.9016,100.53886187495664
3,<function gaussian_attack at 0x195344280>,mnist,30,0.9643596087560689,0.9375,63.382597164134495
3,<function gaussian_attack at 0x195344280>,mnist,31,0.9566923677239767,0.9236,82.55790125846397
3,<function gaussian_attack at 0x195344280>,mnist,32,0.9591836925259207,0.9276,74.12694467860274
3,<function gaussian_attack at 0x195344280>,mnist,33,0.9592624542508457,0.9286,76.42102472076658
3,<function gaussian_attack at 0x195344280>,mnist,34,0.9541452429060333,0.9188,92.99636447202647
3,<function gaussian_attack at 0x195344280>,mnist,35,0.96631264774099,0.9411,62.86817774156225
3,<function gaussian_attack at 0x195344280>,mnist,36,0.960721646977083,0.9305,83.0702730154735
3,<function gaussian_attack at 0x195344280>,mnist,37,0.9428971121814282,0.8993,132.7050016198191
3,<function gaussian_attack at 0x195344280>,mnist,38,0.9504685687341986,0.9129,120.2760837811511
3,<function gaussian_attack at 0x195344280>,mnist,39,0.9584902964700429,0.9272,101.1606055782213
3,<function gaussian_attack at 0x195344280>,mnist,40,0.9451326106424288,0.9047,152.71756671354524
3,<function gaussian_attack at 0x195344280>,mnist,41,0.9411809107018885,0.8967,174.1598534573095
3,<function gaussian_attack at 0x195344280>,mnist,42,0.9515341359072705,0.9153,146.31579018953562
3,<function gaussian_attack at 0x195344280>,mnist,43,0.9434192829793421,0.9008,189.54127344943845
3,<function gaussian_attack at 0x195344280>,mnist,44,0.9392488468972122,0.8929,206.60257965025357
3,<function gaussian_attack at 0x195344280>,mnist,45,0.9538239894974515,0.9187,165.55628461065282
3,<function gaussian_attack at 0x195344280>,mnist,46,0.947832848024548,0.9086,190.5192126590132
3,<function gaussian_attack at 0x195344280>,mnist,47,0.9403069052155477,0.895,237.84792153845865
