encryption_enabled,loss,accuracy,timestamp
True,2.2508523813478507,0.1108,2025-08-22 09:41:14
True,2.060169787163947,0.2298,2025-08-22 09:41:20
True,2.04208575312499,0.2296,2025-08-22 09:41:20
True,2.013233372360278,0.2204,2025-08-22 09:41:21
True,1.9969565017967468,0.2338,2025-08-22 09:41:21
True,1.9754906292933567,0.2342,2025-08-22 09:41:27
True,1.9563128363554645,0.2562,2025-08-22 09:41:27
True,1.9802560388662254,0.2222,2025-08-22 09:41:28
True,1.957725515031511,0.2452,2025-08-22 09:41:28
True,2.034954369447793,0.197,2025-08-22 09:49:19
True,2.01618649397686,0.2178,2025-08-22 09:49:19
True,2.2752726321007795,0.1496,2025-08-22 09:49:20
True,2.2749550023655982,0.1508,2025-08-22 09:49:20
True,2.0647354217091944,0.1982,2025-08-22 09:49:26
True,2.0630406110909334,0.2318,2025-08-22 09:49:26
True,2.041432644910873,0.2006,2025-08-22 09:49:27
True,2.02903507621425,0.2094,2025-08-22 09:49:27
True,2.054152160693126,0.1868,2025-08-22 09:49:33
True,2.0682254194454024,0.2182,2025-08-22 09:49:33
True,2.0110814001909487,0.2196,2025-08-22 09:49:35
True,2.0014074410602545,0.2286,2025-08-22 09:49:35
True,1.9884343974909204,0.2408,2025-08-22 10:04:59
True,2.0752182470005787,0.1994,2025-08-22 10:04:59
True,2.2901949836949633,0.118,2025-08-22 10:05:00
True,2.292907733066826,0.113,2025-08-22 10:05:00
True,2.033266122933406,0.2158,2025-08-22 10:05:06
True,2.103725930687728,0.19,2025-08-22 10:05:06
True,2.205171021686238,0.1556,2025-08-22 10:05:08
True,2.2073207387498988,0.1474,2025-08-22 10:05:08
True,2.0502316450617117,0.2224,2025-08-22 10:05:14
True,2.011268823769442,0.226,2025-08-22 10:05:14
True,2.024472853940004,0.2092,2025-08-22 10:05:15
True,2.019856323861772,0.221,2025-08-22 10:05:16
True,1.8471557052829597,0.3218,2025-08-22 10:18:25
True,1.9053060163425495,0.3038,2025-08-22 10:18:25
True,2.257655602467211,0.1524,2025-08-22 10:18:26
True,2.2629719897161555,0.1602,2025-08-22 10:18:26
True,1.8123030330561385,0.3432,2025-08-22 10:18:32
True,1.94852680194227,0.2942,2025-08-22 10:18:32
True,1.9287757994253425,0.2914,2025-08-22 10:18:33
True,1.9173956611488439,0.296,2025-08-22 10:18:33
True,1.8239356294462952,0.3268,2025-08-22 10:18:38
True,1.7819805477238908,0.369,2025-08-22 10:18:39
True,1.749051714245277,0.3726,2025-08-22 10:18:40
True,1.7423647264891033,0.3874,2025-08-22 10:18:40
True,2.0812406061561246,0.2168,2025-08-22 10:19:54
True,2.0233660738938934,0.2248,2025-08-22 10:19:54
True,2.21170589574583,0.142,2025-08-22 10:19:55
True,2.2098383690900865,0.1436,2025-08-22 10:19:55
True,2.005407620387472,0.2216,2025-08-22 10:20:01
True,2.043426354219959,0.204,2025-08-22 10:20:02
True,2.054822647647493,0.184,2025-08-22 10:20:03
True,2.042614009729616,0.2082,2025-08-22 10:20:03
True,2.043024997802297,0.202,2025-08-22 10:20:09
True,2.0605619986345816,0.2058,2025-08-22 10:20:09
True,2.0777321848899697,0.1924,2025-08-22 10:20:10
True,2.0704457205571947,0.1932,2025-08-22 10:20:10
True,1.9146429541744763,0.269,2025-08-22 10:20:42
True,1.8892388977581942,0.276,2025-08-22 10:20:42
True,2.237566305112235,0.1614,2025-08-22 10:20:43
True,2.2415944141677664,0.1576,2025-08-22 10:20:43
True,1.8142109566097018,0.3114,2025-08-22 10:20:54
True,1.8853836195378364,0.3234,2025-08-22 10:20:54
True,1.8699317702764198,0.341,2025-08-22 10:20:56
True,1.881614647334135,0.3232,2025-08-22 10:20:56
True,1.784553488598594,0.3452,2025-08-22 10:21:05
True,1.7541650563855715,0.3498,2025-08-22 10:21:05
True,1.7955937657175185,0.343,2025-08-22 10:21:07
True,1.8121082797835144,0.3316,2025-08-22 10:21:07
True,2.0298250473228987,0.199,2025-08-22 10:25:17
True,2.0254763159782265,0.2408,2025-08-22 10:25:18
True,2.2277840231634247,0.1572,2025-08-22 10:25:19
True,2.226310673792651,0.1616,2025-08-22 10:25:19
True,2.0668312645262215,0.2016,2025-08-22 10:25:25
True,2.011811197942989,0.2438,2025-08-22 10:25:25
True,2.081475970851388,0.1952,2025-08-22 10:25:26
True,2.0774254161081496,0.2064,2025-08-22 10:25:26
True,2.094595947842689,0.213,2025-08-22 10:25:32
True,2.042256428177949,0.2418,2025-08-22 10:25:32
True,2.0623016972450694,0.2244,2025-08-22 10:25:33
True,2.0633898039532315,0.2142,2025-08-22 10:25:33
True,2.09469724005195,0.184,2025-08-22 10:33:33
True,2.2531218604677044,0.168,2025-08-22 10:33:33
True,2.286060272508366,0.112,2025-08-22 10:33:35
True,2.2877435395672063,0.1048,2025-08-22 10:33:35
True,2.1589619445193344,0.1796,2025-08-22 10:33:44
True,2.061751942725698,0.2196,2025-08-22 10:33:44
True,2.091208066150641,0.1822,2025-08-22 10:33:45
True,2.0725494843379706,0.1916,2025-08-22 10:33:45
True,2.086331258913514,0.2204,2025-08-22 10:33:54
True,2.313302056804584,0.1018,2025-08-22 10:33:54
True,2.296559347468577,0.1318,2025-08-22 10:33:56
True,2.2791153610132304,0.14,2025-08-22 10:33:56
True,2.1896266633537924,0.1678,2025-08-22 10:34:28
True,2.095624951040669,0.2128,2025-08-22 10:34:29
True,2.4043410507736693,0.0984,2025-08-22 10:34:30
True,2.4083179668256434,0.109,2025-08-22 10:34:31
True,2.1699692633501284,0.169,2025-08-22 10:34:39
